aa: nggfnofhjrhqoqjp
ab: qjfgfgfgrrukggpu
ac: sjkiumlstiqgqhrf
ad: lrjttirmtmklmttk
ae: nusukgghsnnsltih
af: qfgtpouuojkspjpn
ag: lhifkkfthhonqhti
ah: ifqgsgnjtfsqomms
ai: umngnjnnprouujmu
aj: thsqnugpsmhfpjio
ak: titpotrmhosjislm
al: umomunmiftungjup
am: lsjqopmfftftnimh
an: kgnolsqjurkfuqhl
ao: ngnksqgrtofigikr
ap: slhrhikpgsooshqn
aq: irpqfnqohrrijljj
ar: qpupjssurmqgnhum
as: gmltqkqjltsinoom
at: mhjkpkksjnogtjmk
au: ruulphsgsthtpflk
av: jusrkjnmffohntus
aw: slkotgjmukgkrgkj
ax: iurgpgguttmkllsi
ay: ikiohhfrnoqssmsp
az/za: fmfufimojoukmuto
zb: nqgtinogmkktnrmk
zc: ouhjhlmkrfukhfsi
zd: jijpqtuuhpkpspir
ze: rhiphlmjtlmninii
zf: rqshjpntpmriigjn
zg: pgmhrnnontmkfuoo
zh: rfoigfkiptrfnkgt
zi: osqtkrkjumsoustn
zj: glguqlgjqpltugsi
zk: prutltkjhqoknkot
zl: qqsjjpjnootlukpk
zm: thfpnoqrokikpinu
zn: prfuifopqqfuqspi
zo: ltuhlpkihsisiksu
zp: hohjhiifnuthkfmj
zq: ooflhimjsuomkhor
zr: qpnlmuphjtgsjpqu
zs: qoulihlnntoojnkj
zt: kfsogroktfigjnij
zu: lkphngmpmqpgufgq
zv: sglfogkonqijrqog
zw: shpogqqupoiumuoq
zx: ihfokqunoormltml
zy: fujstplfkpumlugp
zz: onjiqtnhjtqiufij

fg: jjlhhfufsqithooi
gf: pujlqttkhsmrrkoj
gh: sjtpsrqpsgtmmhgh
hg: umqiugghujqtklqt

ba: qjfgfgfgrrukggpu
bb: sjkiumlstiqgqhrf
bc: lrjttirmtmklmttk
bd: nusukgghsnnsltih
be: qfgtpouuojkspjpn
bf: lhifkkfthhonqhti
bg: ifqgsgnjtfsqomms
bh: umngnjnnprouujmu
bi: thsqnugpsmhfpjio
bj: titpotrmhosjislm
bk: umomunmiftungjup
bl: lsjqopmfftftnimh
bm: kgnolsqjurkfuqhl
bn: ngnksqgrtofigikr
bo: slhrhikpgsooshqn
bp: irpqfnqohrrijljj
bq: qpupjssurmqgnhum


